"ID","pid","MATINH","Urban_Rural","age","C1","C2","TOTAL_HH_member","assets_1","assets_2","assets_3","assets_4","assets_5","assets_6","assets_7","assets_8","assets_9","assets_10","assets_11","assets_12","assets_13","assets_14","assets_15","assets_16","assets_17","assets_18","assets_19","C9","C10"
"010010000600801",1,1,1,28,1,1,2,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,
"010010000600803",2,1,1,48,1,2,3,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010010000600814",1,1,1,29,1,1,2,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010010000600823",1,1,1,40,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010010000600824",4,1,1,52,1,4,5,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010010000600825",1,1,1,19,1,1,2,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,
"010010000600827",5,1,1,56,1,3,5,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010010000600828",1,1,1,55,1,1,2,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010010000600829",1,1,1,64,1,1,2,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,
"010010000600831",3,1,1,50,1,4,4,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,
"010010000600832",1,1,1,43,1,1,2,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,
"010010000600834",3,1,1,46,1,3,3,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,
"010010000600837",3,1,1,42,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,
"010010000600838",2,1,1,49,1,2,2,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,
"010010000600839",2,1,1,37,1,2,3,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010040011501923",2,1,1,41,1,2,3,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010040011501924",3,1,1,28,1,2,3,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,
"010040011501925",3,1,1,29,1,2,4,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,
"010040011501926",4,1,1,48,1,3,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010040011501927",1,1,1,23,1,3,3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010040011501928",2,1,1,48,1,3,3,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,
"010040011501929",2,1,1,33,1,2,3,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010040011501930",3,1,1,37,1,2,3,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,
"010040011501931",3,1,1,39,1,3,4,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,
"010040011501932",4,1,1,40,1,2,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010040011501934",1,1,1,22,1,3,3,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010040011501936",3,1,1,32,1,3,3,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010040011501939",3,1,1,41,1,2,4,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
"010040011501940",4,1,1,53,1,4,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010040011501941",3,1,1,42,1,3,4,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010050016308901",2,1,1,42,1,2,3,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,
"010050016308905",1,1,1,63,1,1,2,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,
