"ID","pid","MATINH","Urban_Rural","age","gender","Q302","Q303A","Q303B","Q304_1","Q304_2","Q304_3","Q304_4","Q305A1","Q305A2","Q305B1","Q305B2","Q306","Q307","Q308","Q309","Q310A1","Q310A2","Q310B1","Q310B2","Q311","Q305A","Q305B","Q310AA","Q310B","region3","agegroup","weight"
"464741975000808",4,46,1,37,1,12,4,4,1,,,,9,93,3,33,4,1,9000,2,,,,,,"th___ c__ khí",,,,"Central","15-44",1669648
"565682237802338",4,56,1,32,1,12,3,2,1,,,,4,42,5,36,5,1,15000,1,,,,,,"nhân viên cty c___p thoát n_____c",,,,"Central","15-44",1669648
"484922025401426",5,48,1,43,1,9,2,0,1,,,,9,93,21,96,4,1,6000,1,,,,,,"ch___y shopee",,,,"Central","15-44",1669648
"383931534600537",4,38,1,42,1,12,3,0,1,,,,7,75,3,32,6,1,8500,1,,,,,,"công nhân",,,,"Central","15-44",1669648
"464802002000820",4,46,1,38,1,6,1,0,1,,,,9,93,6,41,4,1,7000,2,,,,,,"th___ xây d___ng",,,,"Central","15-44",1669648
"384061644401728",4,38,1,32,1,12,3,0,3,,,,9,93,6,41,4,1,6000,2,,,,,,"th___ xây",,,,"Central","15-44",1669648
"646252363803032",1,64,1,22,1,12,3,0,3,,,,5,51,10,63,2,1,0,2,,,,,,"qu___ng cáo",,,,"Central","15-44",1669648
"666462421100937",1,66,1,21,1,12,3,0,3,,,,7,75,21,96,2,1,7000,2,,,,,,"làm tóc",,,,"Central","15-44",1669648
"383931534600524",3,38,1,34,1,12,3,0,3,,,,8,82,7,45,4,1,10000,2,,,,,,"s___a xe máy",,,,"Central","15-44",1669648
"484912021200625",1,48,1,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,"Central","15-44",1669648
"525402159202607",3,52,1,36,1,12,3,2,3,,,,5,52,21,96,2,1,10000,2,,,,,,"buôn bán cây c___nh",,,,"Central","15-44",1669648
"565722257000221",2,56,1,18,1,9,2,0,3,,,,9,95,14,77,4,1,300,2,6,61,1,1,1,"gia dình là d___ch v___ c_____i h___i",,"b___c vác lúa",,"Central","15-44",1669648
"444501885902503",4,44,1,38,1,12,4,0,1,,,,3,33,8,52,4,1,9000,1,,,,,,"NV XU LY HAG HOA GHTK",,,,"Central","15-44",1669648
"565722257000223",2,56,1,36,1,9,2,0,2,,,,6,63,1,1,4,1,5000,2,,,,,,"lam nông",,,,"Central","15-44",1669648
"666432413602627",1,66,1,19,1,1,5,0,0,,,,,,,,,,,,,,,,,,,,,"Central","15-44",1669648
"565682237802310",1,56,1,42,1,9,2,0,1,,,,7,71,6,42,4,1,15000,2,7,72,3,25,4,"cong nhan xay dung",,"co khi dan dung",,"Central","15-44",1669648
"484902019806323",1,48,1,23,1,12,4,0,1,,,,3,31,3,29,4,1,6000,1,,,,,,"nhân viên k___ thu___t s___a ch___a ô tô",,,,"Central","15-44",1669648
"646252363803015",4,64,1,38,1,9,1,0,3,,,,8,82,7,45,4,1,4000,2,,,,,,"th___ s___a xe máy",,,,"Central","15-44",1669648
"686722477500427",1,68,1,41,1,9,2,0,3,,,,7,71,6,43,4,1,15000,2,,,,,,"xây d___ng nhà",,,,"Central","15-44",1669648
"383941541201708",4,38,1,40,1,12,3,0,1,,,,7,75,2,8,4,1,8000,1,,,,,,"làm ngh___ dá",,,,"Central","15-44",1669648
"686722479000936",4,68,1,40,1,12,5,0,1,,,,5,53,17,86,5,1,7000,1,,,,,,"nhân viên",,,,"Central","15-44",1669648
"686722477500404",5,68,1,43,1,5,0,0,2,,,,6,61,1,1,1,1,12000,2,,,,,,"nông",,,,"Central","15-44",1669648
"464741978001929",1,46,1,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,"Central","15-44",1669648
"686732481404326",4,68,1,29,1,0,0,0,3,,,,9,91,6,41,4,1,5000,2,,,,,,"ph___ h___",,,,"Central","15-44",1669648
"525402155300128",3,52,1,32,1,12,3,0,1,,,,5,51,14,79,4,1,10000,1,,,,,,"ph___ tour",,,,"Central","15-44",1669648
"464741975000805",1,46,1,26,1,9,2,0,1,,,,5,52,19,97,4,1,6000,2,,,,,,"buôn bán",,,,"Central","15-44",1669648
"484942028401136",3,48,1,28,1,12,4,4,1,,,,4,42,8,50,4,1,8000,1,,,,,,"Nhân viên van phòng",,,,"Central","15-44",1669648
"404121667503634",4,40,1,39,1,12,5,3,1,,,,4,43,12,68,4,1,5000,1,,,,,,"Nhân Viên Van Phòng",,,,"Central","15-44",1669648
"666432413602631",4,66,1,40,1,10,2,0,2,,,,6,61,1,1,1,1,4000,2,5,54,21,96,4,"tr___ng tr___t",,"b___o v___ ___ th___ gi__i di dông",,"Central","15-44",1669648
"383931534600539",4,38,1,44,1,12,3,0,1,,,,9,93,6,41,4,1,9000,2,,,,,,"th___ xây",,,,"Central","15-44",1669648
"484942028401135",4,48,1,44,1,12,3,0,1,,,,9,93,6,41,4,1,10000,2,,,,,,"th___u xây d___ng",,,,"Central","15-44",1669648
"484922025401433",3,48,1,36,1,12,3,0,1,,,,7,73,21,96,4,1,7000,1,,,,,,"công nhân",,,,"Central","15-44",1669648
"666432413602607",3,66,1,32,1,12,4,0,2,,,,9,92,1,1,1,1,0,2,,,,,,"Nuôi dúi",,,,"Central","15-44",1669648
"464741978001928",4,46,1,34,1,12,3,2,3,,,,5,52,9,56,4,1,0,2,,,,,,"d___u b___p",,,,"Central","15-44",1669648
"484922025401434",4,48,1,38,1,12,4,0,1,,,,5,52,9,55,4,1,10000,1,,,,,,"nhân viên khách s___n",,,,"Central","15-44",1669648
"686722479000924",3,68,1,35,1,12,4,0,3,,,,9,95,9,56,2,1,6000,2,,,,,,"bán quán an",,,,"Central","15-44",1669648
"676632466400228",1,67,1,17,1,11,2,0,0,,,,,,,,,,,,,,,,,,,,,"Central","15-44",1669648
